window_idx,start_date,end_date,duration_days,start_value,end_value,pnl,pnl_pct,sharpe_ratio,max_drawdown,max_drawdown_len,total_return,annual_return,total_trades,won_trades,lost_trades,win_rate,avg_win,avg_loss
39,2019-12-06 22:00:00,2020-06-06 22:00:00,183,100000.0,105922.85688949995,5922.856889499948,5.922856889499948,0.7939862806944853,4.025874927476264,37995,,,60,39,21,65.0,285.84234598717893,-248.8092668571429
40,2020-03-06 22:00:00,2020-09-06 22:00:00,184,100000.0,105632.10038299992,5632.1003829999245,5.6321003829999245,,2.3996239833659168,43147,,,63,37,26,58.730158730158735,311.4216324459463,-226.55769298076927
41,2020-06-06 22:00:00,2020-12-06 22:00:00,183,100000.0,101131.75252799998,1131.7525279999827,1.1317525279999827,,4.733349203222013,68372,,,57,38,19,66.66666666666666,266.77551631578933,-473.985110105263
42,2020-09-06 22:00:00,2021-03-06 22:00:00,181,100000.0,96674.29395950004,-3325.7060404999647,-3.325706040499965,-2.623324414508619,7.337679966865501,143706,,,54,34,20,62.96296296296296,228.48699651470602,-575.932106949999
43,2020-12-06 22:00:00,2021-06-06 22:00:00,182,100000.0,100750.5529635001,750.5529635001003,0.7505529635001003,-1.2106728125999422,5.8751941866174064,59715,,,53,29,24,54.71698113207547,339.35853891379384,-378.9103654583333
44,2021-03-06 22:00:00,2021-09-06 22:00:00,184,100000.0,103972.56301249999,3972.563012499988,3.9725630124999878,,4.412565445499973,117819,,,58,30,28,51.724137931034484,317.87503356666645,-198.7031426607152
45,2021-06-06 22:00:00,2021-12-06 22:00:00,183,100000.0,98161.91105399991,-1838.0889460000908,-1.8380889460000907,,5.115306252866453,82779,,,51,30,21,58.82352941176471,217.8056862833333,-403.7999469761914
46,2021-09-06 22:00:00,2022-03-06 22:00:00,181,100000.0,100592.70730300003,592.707303000032,0.5927073030000319,-0.09767349861434516,9.733725266831412,76027,,,40,26,14,65.0,600.7787865769237,-1073.3957962857164
47,2021-12-06 22:00:00,2022-06-06 22:00:00,182,100000.0,94657.0243025001,-5342.975697499904,-5.342975697499903,-0.8794453016866444,9.965040291465929,79533,,,45,23,22,51.11111111111111,832.2040792826086,-1115.5154965909098
48,2022-03-06 22:00:00,2022-09-06 22:00:00,184,100000.0,93012.17889100006,-6987.821108999939,-6.987821108999939,,14.846539270145586,146087,,,53,25,28,47.16981132075472,701.2514480200006,-875.6824039107136
49,2022-06-06 22:00:00,2022-12-06 22:00:00,183,100000.0,93689.67293850008,-6310.32706149992,-6.310327061499921,,12.515653785463913,114229,,,51,26,25,50.98039215686274,574.1486931346155,-765.1670241999993
